File Name,Peak [CNN],Prediction Value,Peak [Worker],Matching
small ng samp 9_(-19.7368_-14.4737).csv,0,0.0253107454627752,0,o
small ng samp 9_(-19.7368_-17.1053).csv,0,0.0114982966333627,0,o
small ng samp 9_(-19.7368_-19.7368).csv,0,0.0108025902882218,0,o
small ng samp 9_(-19.7368_-22.3684).csv,0,0.0027876372914761,0,o
small ng samp 9_(-19.7368_-25.0).csv,0,0.0012750832829624,0,o
small ng samp 9_(-19.7368_-3.94737).csv,0,0.0082428622990846,0,o
small ng samp 9_(-19.7368_-6.57895).csv,0,0.0146970311179757,0,o
small ng samp 9_(-19.7368_-9.21053).csv,0,0.0086672669276595,0,o
small ng samp 9_(-19.7368_1.31579).csv,0,0.0216446612030267,0,o
small ng samp 9_(-19.7368_11.8421).csv,1,0.9648534059524536,1,o
small ng samp 9_(-19.7368_14.4737).csv,0,0.011418230831623,0,o
small ng samp 9_(-19.7368_17.1053).csv,1,0.9955182671546936,1,o
small ng samp 9_(-19.7368_19.7368).csv,1,0.9546439051628112,1,o
small ng samp 9_(-19.7368_22.3684).csv,1,0.9433697462081908,1,o
small ng samp 9_(-19.7368_25.0).csv,1,0.968537986278534,1,o
small ng samp 9_(-19.7368_3.94737).csv,1,0.8134252429008484,1,o
small ng samp 9_(-19.7368_6.57895).csv,1,0.9443880319595336,1,o
small ng samp 9_(-19.7368_9.21053).csv,1,0.993503749370575,1,o
small ng samp 9_(-22.3684_-1.31579).csv,0,0.0021708337590098,0,o
small ng samp 9_(-22.3684_-11.8421).csv,0,0.0059798052534461,0,o
small ng samp 9_(-22.3684_-14.4737).csv,0,0.0198349822312593,1,x
small ng samp 9_(-22.3684_-17.1053).csv,0,0.0268182829022407,0,o
small ng samp 9_(-22.3684_-19.7368).csv,0,0.0077875922434031,0,o
small ng samp 9_(-22.3684_-22.3684).csv,0,0.0043653198517858,0,o
small ng samp 9_(-22.3684_-25.0).csv,0,0.0064994394779205,0,o
small ng samp 9_(-22.3684_-3.94737).csv,0,0.0127212824299931,0,o
small ng samp 9_(-22.3684_-6.57895).csv,0,0.0009051545639522,0,o
small ng samp 9_(-22.3684_-9.21053).csv,0,0.0043384809978306,0,o
small ng samp 9_(-22.3684_1.31579).csv,0,0.0052746543660759,0,o
small ng samp 9_(-22.3684_11.8421).csv,1,0.6632398366928101,1,o
small ng samp 9_(-22.3684_14.4737).csv,0,0.1076102405786514,0,o
small ng samp 9_(-22.3684_17.1053).csv,1,0.9177097082138062,1,o
small ng samp 9_(-22.3684_19.7368).csv,0,0.0127782542258501,0,o
small ng samp 9_(-22.3684_22.3684).csv,1,0.7578238844871521,1,o
small ng samp 9_(-22.3684_25.0).csv,0,0.0211042333394289,0,o
small ng samp 9_(-22.3684_3.94737).csv,1,0.8158909678459167,1,o
small ng samp 9_(-22.3684_6.57895).csv,1,0.9959532022476196,1,o
small ng samp 9_(-22.3684_9.21053).csv,1,0.9204436540603638,1,o
small ng samp 9_(-25.0_-1.31579).csv,0,0.0003034211695194,0,o
small ng samp 9_(-25.0_-11.8421).csv,0,0.0126228267326951,0,o
small ng samp 9_(-25.0_-14.4737).csv,1,0.9763177633285522,1,o
small ng samp 9_(-25.0_-17.1053).csv,0,0.0187333393841981,0,o
small ng samp 9_(-25.0_-19.7368).csv,0,0.0073714298196136,0,o
small ng samp 9_(-25.0_-22.3684).csv,0,0.0001201493068947,0,o
small ng samp 9_(-25.0_-25.0).csv,0,0.0743910744786262,0,o
small ng samp 9_(-25.0_-3.94737).csv,0,0.0048168399371206,0,o
small ng samp 9_(-25.0_-6.57895).csv,0,0.0718362033367157,0,o
small ng samp 9_(-25.0_-9.21053).csv,0,0.0078386589884758,0,o
small ng samp 9_(-25.0_1.31579).csv,0,0.0017818553606048,0,o
small ng samp 9_(-25.0_11.8421).csv,0,0.1263057589530944,1,x
small ng samp 9_(-25.0_14.4737).csv,1,0.6236257553100586,0,x
small ng samp 9_(-25.0_17.1053).csv,1,0.8996229767799377,1,o
small ng samp 9_(-25.0_19.7368).csv,1,0.9011205434799194,1,o
small ng samp 9_(-25.0_22.3684).csv,0,0.0109797939658164,0,o
small ng samp 9_(-25.0_25.0).csv,1,0.5157315731048584,0,x
small ng samp 9_(-25.0_3.94737).csv,0,0.0203122645616531,0,o
small ng samp 9_(-25.0_6.57895).csv,0,0.0358183942735195,1,x
small ng samp 9_(-25.0_9.21053).csv,1,0.9933859705924988,1,o
small ng samp 9_(-3.94737_-1.31579).csv,0,0.1495362669229507,1,x
small ng samp 9_(-3.94737_-11.8421).csv,1,0.9999998807907104,1,o
small ng samp 9_(-3.94737_-14.4737).csv,1,0.9656531810760498,1,o
small ng samp 9_(-3.94737_-17.1053).csv,0,0.0320251062512397,0,o
small ng samp 9_(-3.94737_-19.7368).csv,0,0.0089638885110616,0,o
small ng samp 9_(-3.94737_-22.3684).csv,0,0.0450637899339199,0,o
small ng samp 9_(-3.94737_-25.0).csv,0,0.2306731790304184,0,o
small ng samp 9_(-3.94737_-3.94737).csv,1,0.9826687574386596,1,o
small ng samp 9_(-3.94737_-6.57895).csv,1,0.7283976674079895,1,o
small ng samp 9_(-3.94737_-9.21053).csv,1,0.8769918084144592,1,o
small ng samp 9_(-3.94737_1.31579).csv,1,0.8053926229476929,1,o
small ng samp 9_(-3.94737_11.8421).csv,1,0.9772805571556092,1,o
small ng samp 9_(-3.94737_14.4737).csv,0,0.1318131238222122,0,o
small ng samp 9_(-3.94737_17.1053).csv,1,0.9425348043441772,1,o
small ng samp 9_(-3.94737_19.7368).csv,0,0.1535822600126266,0,o
small ng samp 9_(-3.94737_22.3684).csv,1,0.7338914275169373,1,o
small ng samp 9_(-3.94737_25.0).csv,1,0.966711699962616,1,o
small ng samp 9_(-3.94737_3.94737).csv,0,0.0578923746943473,0,o
small ng samp 9_(-3.94737_6.57895).csv,1,0.9983617663383484,1,o
small ng samp 9_(-3.94737_9.21053).csv,1,0.9581952095031738,1,o
small ng samp 9_(-6.57895_-1.31579).csv,0,0.2013716101646423,0,o
small ng samp 9_(-6.57895_-11.8421).csv,1,0.9687363505363464,1,o
small ng samp 9_(-6.57895_-14.4737).csv,0,0.0255321394652128,1,x
small ng samp 9_(-6.57895_-17.1053).csv,0,0.0310611836612224,0,o
small ng samp 9_(-6.57895_-19.7368).csv,1,0.7940962910652161,1,o
small ng samp 9_(-6.57895_-22.3684).csv,0,0.0016311714425683,0,o
small ng samp 9_(-6.57895_-25.0).csv,0,0.0620740242302417,0,o
small ng samp 9_(-6.57895_-3.94737).csv,1,0.9126580357551576,1,o
small ng samp 9_(-6.57895_-6.57895).csv,0,0.2238937616348266,0,o
small ng samp 9_(-6.57895_-9.21053).csv,0,0.0119696035981178,0,o
small ng samp 9_(-6.57895_1.31579).csv,1,0.6693180203437805,1,o
small ng samp 9_(-6.57895_11.8421).csv,1,0.9983094930648804,1,o
small ng samp 9_(-6.57895_14.4737).csv,1,0.9815216064453124,1,o
small ng samp 9_(-6.57895_17.1053).csv,1,0.9695855379104614,1,o
small ng samp 9_(-6.57895_19.7368).csv,0,0.0521120801568031,0,o
small ng samp 9_(-6.57895_22.3684).csv,1,0.935104250907898,0,x
small ng samp 9_(-6.57895_25.0).csv,1,0.8793723583221436,1,o
small ng samp 9_(-6.57895_3.94737).csv,1,0.7948479056358337,1,o
small ng samp 9_(-6.57895_6.57895).csv,1,0.9834871888160706,1,o
small ng samp 9_(-6.57895_9.21053).csv,1,0.6040701270103455,0,x
small ng samp 9_(-9.21053_-1.31579).csv,1,0.6215201616287231,1,o
small ng samp 9_(-9.21053_-11.8421).csv,0,0.0179410055279731,0,o
small ng samp 9_(-9.21053_-14.4737).csv,0,0.0087036751210689,0,o
small ng samp 9_(-9.21053_-17.1053).csv,0,0.0017604528693482,0,o
small ng samp 9_(-9.21053_-19.7368).csv,0,0.02421685308218,0,o
small ng samp 9_(-9.21053_-22.3684).csv,0,0.1851441115140915,1,x
small ng samp 9_(-9.21053_-25.0).csv,0,0.0041874819435179,0,o
small ng samp 9_(-9.21053_-3.94737).csv,0,0.0091620571911335,0,o
small ng samp 9_(-9.21053_-6.57895).csv,1,0.7190517783164978,0,x
small ng samp 9_(-9.21053_-9.21053).csv,0,0.0124092148616909,0,o
small ng samp 9_(-9.21053_1.31579).csv,0,0.1110932156443595,1,x
small ng samp 9_(-9.21053_11.8421).csv,1,0.9519568085670472,1,o
small ng samp 9_(-9.21053_14.4737).csv,1,0.9123228788375854,1,o
small ng samp 9_(-9.21053_17.1053).csv,0,0.1026360318064689,1,x
small ng samp 9_(-9.21053_19.7368).csv,1,0.9737638831138612,1,o
small ng samp 9_(-9.21053_22.3684).csv,1,0.9268601536750792,1,o
small ng samp 9_(-9.21053_25.0).csv,1,0.9343998432159424,1,o
small ng samp 9_(-9.21053_3.94737).csv,0,0.3366499245166778,1,x
small ng samp 9_(-9.21053_6.57895).csv,1,0.9924772381782532,1,o
small ng samp 9_(-9.21053_9.21053).csv,1,0.8143748044967651,1,o
small ng samp 9_(1.31579_-1.31579).csv,0,0.0484921969473362,0,o
small ng samp 9_(1.31579_-11.8421).csv,0,0.0216642711311578,0,o
small ng samp 9_(1.31579_-14.4737).csv,0,0.1054460331797599,1,x
small ng samp 9_(1.31579_-17.1053).csv,1,0.94561505317688,1,o
small ng samp 9_(1.31579_-19.7368).csv,0,0.0657588019967079,0,o
small ng samp 9_(1.31579_-22.3684).csv,0,0.0363371297717094,0,o
small ng samp 9_(1.31579_-25.0).csv,1,0.7356505990028381,1,o
small ng samp 9_(1.31579_-3.94737).csv,1,0.5653159618377686,1,o
small ng samp 9_(1.31579_-6.57895).csv,0,0.0911294221878051,0,o
small ng samp 9_(1.31579_-9.21053).csv,1,0.9795873165130616,1,o
